year,value
1954,-17.7
1955,-10.1
1955,-1.4
1955,-10.4
1955,-4.2
1955,-11.8
1955,0.1
1956,5.6
1956,37.8
1956,18.1
1956,10.1
1956,13.6
1956,18.3
1956,24.9
1957,39
1957,41.5
1957,16.6
1957,43.3
1957,44.8
1957,51.3
1957,46.2
1957,51.6
1957,62
1958,76.2
1958,67.5
1958,77.7
1958,81
1958,93.9
1958,116.9
1958,110.1
1959,121.1
1959,126
1959,137.2
1959,132.7
1959,150
1959,141.9
1959,164.6
1959,171.4
1959,181.7
1960,181.8
1960,187.9
1960,187.3
1960,193.6
1960,195.8
1960,198.4
1960,193.7
1961,194.9
1961,207.1
1961,201.9
1961,196.6
1961,198.4
1961,197.9
1961,182.9
1961,237.2
1961,227.3
1962,197.4
1962,207.3
1962,214.3
1962,189.4
1962,233.5
1962,250.5
1962,266.6
1963,265.5
1963,269.7
1963,266.3
1963,284.3
1963,280.9
1963,313.2
1963,331
1963,355.5
1963,405.1
1963,374.8
1963,429.5
1964,445.7
1964,472.5
1964,500.2
1964,498.2
1964,542.3
1964,567.5
1964,506.9
1964,621.9
1964,615.8
1965,689.4
1965,633.6
1965,634
1965,615.1
1965,694.6
1965,614.1
1965,634.2
1965,625.8
1965,634.4
1966,647.3
1966,646.5
1966,631.8
1966,622
1966,612.4
1966,612.1
1966,590.9
1966,625.3
1966,614.8
1966,614.9
1966,627.8
1967,616.4
1967,602.9
1967,608.9
1967,596.5
1967,589.3
1967,571.4
1967,574.9
1967,586
1967,579.6
1968,583
1968,582.5
1968,572.8
1968,547.6
1968,560.4
1968,561.6
1968,550.5
1968,538.2
1968,535.6
1968,531.6
1968,532.8
1968,537.7
1968,541.7
1968,541.2
1968,539.6
1969,539.1
1969,537.7
1969,550.4
1969,545.4
1969,530.3
1969,539.5
1969,525.1
1969,526.2
1969,522.7
1969,545
1969,531.2
1969,510.2
1970,510.2
1970,535.3
1970,520.4
1970,513.5
1970,516.1
1970,506
1970,497.5
1970,508
1970,498.6
1970,497.5
1970,495.6
1971,500.6
1971,494.7
1971,508.3
1971,500.9
1971,499.6
1971,498.9
1971,494.3
1971,483.4
1971,478.8
1971,492.6
1971,479.3
1972,484.5
1972,491.6
1972,474.8
1972,482.3
1972,468.1
1972,469.5
1972,470
1972,466
1972,450.4
1972,450
1972,450
1972,447.3
1973,454.1
1973,454
1973,442.8
1973,435.1
1973,427.2
1973,415.8
1973,426
1973,434.3
1973,417.3
1974,412.8
1974,405.1
1974,418.7
1974,417.4
1974,386.9
1974,359.6
1974,394.4
1974,392.4
1974,405.1
1974,398.7
1974,401.8
1974,393.7
1975,396.3
1975,399
1975,400.6
1975,397.6
