year,content
1954,-17.7
1955,-6.3
1956,18.3
1957,44.0
1958,89.0
1959,147.4
1960,191.2
1961,204.9
1962,222.7
1963,325.1
1964,530.1
1965,641.7
1966,622.3
1967,591.8
1968,550.5
1969,533.6
1970,509.0
1971,493.8
1972,467.0
1973,434.1
1974,398.9
1975,380.3
1976,354.9
1977,330.5
1978,312.5
1979,295.2
1980,278.7
1981,260.9
1982,244.0
1983,231.1
1984,218.3
1985,208.2
1986,193.7
1987,181.0
1988,174.3
1989,162.9
1990,154.1
1991,0
1992,0
1993,131.1
1994,126.5
1995,114.4
1996,115.2
1997,109.4
1998,0
1999,93.4
2000,86.0
2001,83.0
2002,84.8
2003,82.7
2004,71.2
2005,69.5
2006,59.8
2007,57.4
2008,53.3
2009,50.1
2010,48.8
2011,40.1
2012,35.0
2013,32.1
2014,26.0
2015,22.3
2016,20.6
2017,16.6
