years,yields
1949,22
1950,0
1951,38.3
1951,42
1953,400
1953,28
1953,5.8
1953,1.6
1953,4.9
1954,40
1954,0.2
1954,0.03
1954,2
1954,4
1954,0.8
1954,0.001
1954,62
1954,2.8
1954,10
1955,0
1955,1.3
1955,12
1955,1.2
1955,0
1955,250
1955,1600
1956,0.3
1956,14
1956,5.5
1956,27
1956,900
1956,51
1956,38
1956,900
1956,40
1957,10
1957,19
1957,42
1957,57
1957,680
1957,22
1957,320
1957,520
1957,0.1
1957,32
1957,5.9
1957,1600
1957,13
1957,2900
1957,12
1958,1.3
1958,0.5
1958,860
1958,250
1958,1500
1958,1.2
1958,0
1958,35
1958,40
1958,14
1958,0
1958,0.16
1958,12
1958,650
1958,18
1958,1200
1958,900
1958,290
1958,40
1958,9
1958,15
1958,5.5
1958,68
1958,1450
1958,1500
1958,2900
1958,40
1958,0.001
1958,440
1958,2
1958,2800
1958,1000
1958,190
1958,0.05
1958,10
1958,10
1961,16
1961,9
1961,16
1961,1.1
1961,10.5
1961,0.38
1961,2700
1961,12
1961,0.88
1961,0.3
1961,1150
1961,6
1961,10
1961,0.4
1961,1200
1961,830
1961,21
1961,1000
1961,0.004
1961,0.75
1961,0.03
1961,4.8
1961,1500
1961,0.8
1961,260
1961,1.2
1961,3
1961,250
1961,13
1961,3000
1961,4000
1961,40
1961,15
1961,15
1961,6.6
1961,10
1961,1450
1961,12500
1961,300
1961,0.5
1961,16
1961,1.2
1961,1.2
1961,0.09
1961,58000
1961,5000
1961,400
1961,2.7
1961,120
1961,280
1961,0.6
1961,0.001
1961,0.9
1961,15
1961,1500
1961,6
1961,0.2
1962,2.4
1962,1.6
1962,3.8
1962,21100
1962,9.9
1962,400
1962,7.4
1962,5.8
1962,2800
1962,23
1962,1600
1962,6
1962,3
1962,2.5
1962,1
1962,10000
1962,4200
1962,11
1962,2.7
1962,80
1962,0
1962,1900
1962,3100
1962,3250
1962,1350
1962,10
1962,10000
1962,2400
1962,0.21
1962,1.2
1962,7
1962,19100
1962,20000
1962,1.3
1962,320
1962,8
1962,15
1962,9.2
1962,4.9
1962,10
1962,6.7
1962,300
1962,8200
1962,260
1962,7.8
1962,300
1962,7.8
1962,360
1962,1.2
1962,280
1962,10
1962,240
1962,300
1962,3
1962,390
1962,45
1962,4.7
1962,8.4
1962,0.4
1962,0.1
1962,0.001
1962,12
1962,18
1962,0.001
1962,0.031
1962,2.4
1962,110
1962,69
1962,8.3
1962,6.3
1962,430
1962,8.3
1962,2.4
1962,0.001
1962,0.007
1962,0.028
1962,1100
1962,24200
1962,3100
1962,8.5
1960,65
1960,10
1960,3
1961,0.5
1966,28
1966,50
1966,0
1966,110
1966,125
1966,205
1967,15
1967,120
1967,22
1968,115
1968,450
1968,150
1968,2600
1968,1280
1970,13
1970,224
1970,945
1970,12
1970,914
1970,0.05
1970,72
1970,594
1971,34
1971,440
1971,9
1971,4
1971,955
1972,0.5
1972,4
1972,6
1972,0.001
1973,11
1973,0.05
1973,4
1973,0.2
1973,6.6
1973,0
1974,4
1974,0
1974,150
1974,4
1974,8
1974,0.001
1974,96
1974,14
1974,332
1945,21
1945,15
1945,21
1946,21
1948,37
1948,49
1948,18
1951,1
1951,8
1951,1
1951,8
1951,22
1951,81
1951,47
1951,225
1951,45.5
1951,0.05
1951,3.5
1951,14
1951,21
1951,31
1951,1.2
1952,1
1952,1
1952,31
1952,19
1952,12
1952,11
1952,15
1952,14
1952,10400
1952,500
1953,16
1953,24
1953,0.2
1953,11
1953,0.2
1953,23
1953,43
1953,27
1953,32
1953,15
1953,61
1954,15000
1954,11000
1954,110
1954,6900
1954,13500
1954,1690
1955,1
1955,2
1955,7
1955,43
1955,4
1955,8
1955,14
1955,3
1955,3
1955,2
1955,22
1955,29
1955,28
1955,0
1955,0
1955,0
1956,0.01
1956,40
1956,3800
1956,3500
1956,0.19
1956,14.9
1956,13.7
1956,365
1956,8
1956,1.49
1956,1.7
1956,15.2
1956,1100
1956,360
1956,1850
1956,4500
1956,5000
1956,250
1957,0
1957,12
1957,0.14
1957,0.0005
1957,10
1957,37
1957,0
1957,74
1957,17
1957,2
1957,10
1957,9.7
1957,19
1957,17
1957,11
1957,4.7
1957,44
1957,11
1957,0.197
1957,0.3
1957,1
1957,11
1957,12
1957,19
1957,12
1957,8
1957,0.5
1958,1.7
1958,18
1958,1360
1958,81
1958,1370
1958,5.9
1958,25.1
1958,330
1958,57
1958,11.6
1958,92
1958,15
1958,213
1958,319
1958,1450
1958,11
1958,412
1958,880
1958,8900
1958,14
1958,5.2
1958,220
1958,397
1958,9300
1958,0
1958,255
1958,65
1958,202
1958,2000
1958,3800
1958,0
1958,3800
1958,0.02
1958,1.5
1958,1.5
1958,1.5
1958,0.083
1958,2
1958,0.077
1958,0.079
1958,1.4
1958,0.0012
1958,0.037
1958,0.024
1958,0.09
1958,6
1958,0.115
1958,0
1958,0.188
1958,0.021
1958,0.0017
1958,0.0007
1958,4.9
1958,2.2
1958,0.0006
1958,0
1958,0.0078
1958,1.3
1958,0
1958,0.0002
1962,190
1962,410
1962,1090
1962,670
1962,600
1962,100
1962,100
1962,50
1962,500
1962,97
1962,73
1962,2.6
1962,43
1962,782
1962,210
1962,3000
1962,1200
1962,800
1962,52
1962,2.2
1962,81.5
1962,7650
1962,1270
1962,0
1962,1400
1962,1000
1962,3880
1962,0.6
1962,0
1962,75
1962,11.3
1962,1590
1962,0
1962,400
1962,800
1962,8300
1962,400
1962,0
1963,0
1963,0
1963,0
1963,0
1952,25
1953,10
1953,8
1956,15
1956,98
1956,15
1956,1.5
1956,3
1956,10
1957,300
1957,720
1957,200
1957,0.93
1957,6
1957,26.6
1957,1800
1958,3000
1958,24
1958,1000
1958,800
1958,25
1964,22
1965,35
1966,250
1966,12
1966,300
1967,3300
1967,20
1968,3000
1969,3000
1970,3400
1971,20
1972,8
1972,170
1973,3000
1974,1000
1976,0
1976,200
1976,4000
1977,0
1978,11
1978,0
1980,1000
